ee,+,-,+,-,-,-,-,-,+,x,x,x,x,"lower-case i...i.........steam"
i,+,-,+,-,-,-,-,-,-,x,x,x,x,"block i........I.........pits"
a_,+,-,-,-,-,-,-,-,+,x,x,x,x,"e..............eI........late"
e,+,-,-,-,-,-,-,-,-,x,x,x,x,"epsilon........e.........mess"
ae,+,-,-,-,+,-,-,-,+,x,x,x,x,"ae.............&.........fat"
u,+,-,+,+,-,-,-,-,-,x,x,x,x,"ibar.....................just"
@,+,-,-,+,-,-,-,-,-,x,x,x,x,"inverse e................burn,,eatEn,,Above"
uu,+,-,-,+,+,-,-,-,-,x,x,x,x,"inverse v......V.........rUbber,abOve"
ah,+,-,-,+,+,-,-,-,+,x,x,x,x,"a..............A.........hAlf"
u_,+,-,+,+,-,-,-,+,+,x,x,x,x,"u..............u.........crUise"
oo,+,-,+,+,-,-,-,+,-,x,x,x,x,"block U........U.........cOOk"
o_,+,-,-,+,-,-,-,+,+,x,x,x,x,"o..............O.........cOAt"
aw,+,-,-,+,+,-,-,+,-,x,x,x,x,"backwards c....0,zero)..bAWl"
y,-,-,+,-,-,-,-,-,-,x,x,x,x,"j..............j.........Yell"
w,-,-,+,+,-,-,-,+,-,x,x,x,x,"w..............w.........Wool"
r,+,+,-,-,-,-,+,x,x,+,+,-,-,"r..............r.........Rat"
l,+,+,-,-,-,+,+,x,x,+,+,-,-,"l..............l.........Loin"
h,-,-,-,-,+,-,-,x,x,-,+,-,-,"h..............h.........Hot"
p,-,+,-,-,-,+,-,x,x,-,-,-,-,"p..............p.........Pot"
b,-,+,-,-,-,+,-,x,x,+,-,-,-,"b..............b.........But"
t,-,+,-,-,-,+,+,x,x,-,-,-,-,"t..............t.........Top"
d,-,+,-,-,-,+,+,x,x,+,-,-,-,"d..............d.........Dog"
ch,-,+,+,-,-,-,+,x,x,-,-,-,+,"tSigma.........tS........CHurCH"
j,-,+,+,-,-,-,+,x,x,+,-,-,+,"d3.............dZ........Jowls"
k,-,+,+,+,-,-,-,-,x,-,-,-,-,"k..............k.........Cramp"
g,-,+,+,+,-,-,-,-,x,+,-,-,-,"g..............g.........Goon"
f,-,+,-,-,-,+,-,x,x,-,+,-,+,"f..............f.........Feeler"
v,-,+,-,-,-,+,-,x,x,+,+,-,+,"v..............v.........Vain"
th,-,+,-,-,-,+,+,x,x,-,+,-,-,"theta..........T.........THought"
thz,-,+,-,-,-,+,+,x,x,+,+,-,-,"delta..........D.........THis"
s,-,+,-,-,-,+,+,x,x,-,+,-,+,"s..............s.........Sign"
z,-,+,-,-,-,+,+,x,x,+,+,-,+,"z..............z.........Zircon"
sh,-,+,+,-,-,-,+,x,x,-,+,-,+,"sigma..........S.........SHeet"
zh,-,+,+,-,-,-,+,x,x,+,+,-,+,"3..............Z.........viSIon"
m,-,+,-,-,-,+,-,x,x,+,-,+,-,"m..............m.........MiMe"
n,-,+,-,-,-,+,+,x,x,+,-,+,-,"n..............n.........Numb"
ng,-,+,+,+,-,-,-,x,x,+,-,+,-,"eta............9.........youNG"
X,1,1,1,1,1,1,1,1,1,1,1,1,1,"default placeholder"
XX,0,0,0,0,0,0,0,0,0,0,0,0,0,"default nil phoneme"



